,country,article_title,revision_id,article_quality,population,region
73,Afghanistan,Abdul Karim Misaq,1052669338,Stub,41.1,SOUTH ASIA
74,Afghanistan,Ali Mohammad (politician),1050463798,Stub,41.1,SOUTH ASIA
75,Afghanistan,Nasruddin Mohseni,1095044526,Start,41.1,SOUTH ASIA
76,Afghanistan,Davood Moradian,1106284627,Stub,41.1,SOUTH ASIA
77,Afghanistan,Zalmai Mujadidi,1104635001,Start,41.1,SOUTH ASIA
78,Afghanistan,Fazal Haq Mujahid,1113267490,C,41.1,SOUTH ASIA
79,Afghanistan,Rahmatullah Nabil,1112496538,Start,41.1,SOUTH ASIA
80,Afghanistan,Sardar Mohammad Nadir Naeem,1038680015,Stub,41.1,SOUTH ASIA
81,Afghanistan,Daoud Naji,1110983467,Start,41.1,SOUTH ASIA
82,Afghanistan,Gholam Rabani Nasher,916899472,Stub,41.1,SOUTH ASIA
83,Afghanistan,Muhammad Yunus Nawandish,1111494390,C,41.1,SOUTH ASIA
84,Afghanistan,Ali Maisam Nazary,1107279930,Start,41.1,SOUTH ASIA
85,Afghanistan,Ghulam Faroq Nijrabi,1093612575,Stub,41.1,SOUTH ASIA
86,Afghanistan,Zabih-U-llah Ghazi Noristani,1001786762,Start,41.1,SOUTH ASIA
87,Afghanistan,Mohammed Tahir Omar,996093541,Stub,41.1,SOUTH ASIA
88,Afghanistan,Nasrin Oryakhil,1097277701,Start,41.1,SOUTH ASIA
89,Afghanistan,Murad Quenili,1093963498,Stub,41.1,SOUTH ASIA
90,Afghanistan,Ghulam Mohammad Rigi,918256992,Stub,41.1,SOUTH ASIA
91,Afghanistan,Ghulam Hassan Safi,987269301,Stub,41.1,SOUTH ASIA
92,Afghanistan,Hanifa Safi,994195074,Stub,41.1,SOUTH ASIA
93,Afghanistan,Amrullah Saleh,1115022704,FA,41.1,SOUTH ASIA
94,Afghanistan,Mohammed Zia Salehi,889806024,Stub,41.1,SOUTH ASIA
95,Afghanistan,Abdul Majid Samim,1098092701,Stub,41.1,SOUTH ASIA
96,Afghanistan,Saber Sangar,1019860497,Stub,41.1,SOUTH ASIA
97,Afghanistan,Muhammad Arif Sarwari,1079170926,Start,41.1,SOUTH ASIA
98,Afghanistan,Sayed Nasim Mihanparast,1115496635,Stub,41.1,SOUTH ASIA
99,Afghanistan,Sayyid Husayn,1095559301,Stub,41.1,SOUTH ASIA
100,Afghanistan,Suhail Shaheen,1102910228,Start,41.1,SOUTH ASIA
101,Afghanistan,Mohammad Shakir Kargar,1096574840,C,41.1,SOUTH ASIA
